self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
25,2,700,50.0,0.0,0.952331645379408,90264508.7787616,29406850.000000097,25316656.58634821,0.8318643458635299,0.8619386630625024,85.72979486415369,0.6558548266279333,2.2977374024573436
25,2,800,50.0,0.0,0.9455163764636256,105749382.96579936,33834716.66666706,30051688.465494376,0.8640185986607772,0.8902894050936929,83.75489424977452,0.6782759666211755,2.3360238671597555
25,2,900,50.0,0.0,0.9760944316620576,109585738.94608817,34927750.00000049,31227312.890557952,0.7980613995079041,0.8959188407305266,90.66630552519352,0.60349495264135,2.2963244568878287
25,4,200,50.0,0.0,0.9595718036920876,61577923.87266372,33553483.33333367,8673373.014151113,0.9974754804148424,0.2613455006052215,35.88290841879568,0.5980484736465946,1.7666966778228594
25,4,300,50.0,0.0,0.9560630646528364,66534536.06981103,30915133.333333503,12774054.955170147,0.9793811152412436,0.4175659468293967,50.00581257011187,0.819333883473664,2.1094497055900177
25,4,400,50.0,0.0,0.9595374691819916,79245989.83390567,33722700.00000028,17188291.99637445,0.9883640302694978,0.5112511824566212,55.56226305622057,0.9198252447649912,2.2883636599122794
25,4,500,50.0,0.0,0.9496658562326936,83291749.25866526,30360183.333333492,21306010.977060925,0.9801134345493264,0.705081445960981,66.07792918351126,0.9048753088996296,2.418606321901108
25,4,600,50.0,0.0,0.9543190111685254,90434041.5056376,31705300.00000026,23934400.376917005,0.9175199189309884,0.7611585898325822,73.9089973590664,0.8021620665625433,2.3654079495971345
25,4,700,50.0,0.0,0.9598083542031496,89871149.51152807,30496400.0000002,24430218.53498953,0.8027374267055055,0.8068565026684691,86.39191741904344,0.6507275054857218,2.2560210618236467
25,4,800,50.0,0.0,0.9463112279593976,98933354.91481884,32464300.000000276,27598655.823076796,0.7934912527978526,0.8517093820775112,90.20585612301431,0.6150201312603526,2.2426988648817594
25,4,900,50.0,0.0,0.9589213480142794,96515743.30499266,30577983.33333354,27621065.758089293,0.7058982779612049,0.907216486466307,104.68685085540451,0.4921588714150135,2.1768534086023386
25,6,200,50.0,0.0,0.96950362690535,58614555.79422663,31297750.000000216,8664890.65929341,0.9964999728501462,0.2796063121895736,37.68877983959683,0.6281463306599472,1.821335007316956
25,6,300,50.0,0.0,0.9700331911391752,68851607.42197976,32274550.00000025,13038414.733355496,0.9996494619246356,0.4081183869314899,48.051288482993435,0.8008548080498906,2.0973827087342576
25,6,400,50.0,0.0,0.9641559017835626,75245068.96580543,30740600.00000016,17136413.876267176,0.9853809259632152,0.5664206766954176,58.83958692271646,0.9271658106307348,2.3444582537706316
25,6,500,50.0,0.0,0.950367777578086,84416188.77987286,32199750.000000305,20682275.23013092,0.9514205090724296,0.6496504972918911,65.94799995239046,0.8969666913902776,2.3670548668018765
25,6,600,50.0,0.0,0.9301620090401168,88036545.53894103,31417650.00000024,22947662.91147221,0.8796935574995894,0.7309444186765072,75.68487763484508,0.7769107221324404,2.291828266113763
25,6,700,50.0,0.0,0.9725225222711832,94635660.9329687,32533416.66666702,25457142.71984731,0.8364804927527343,0.7834542310905805,82.30147205300827,0.6981473083649358,2.2974332155085833
25,6,800,50.0,0.0,0.9758845272437128,92449359.39867295,30577433.333333492,25636846.33089573,0.7370871046509037,0.8393443638947142,95.72452890433436,0.5564674190982531,2.203827437457737
25,6,900,50.0,0.0,0.9729673833830056,99121119.2303508,32799066.666666955,27476917.92598801,0.7022143612237656,0.8412460793577298,100.32470018362952,0.5150241698538929,2.1609884167230824
25,8,200,50.0,0.0,0.9734605894576516,58389087.39990091,31142466.666666828,8653827.525573496,0.995227664533167,0.2825912496303116,37.96508741856918,0.6327514569761531,1.832285046138054
25,8,300,50.0,0.0,0.9549997808761532,71222127.73899387,34193133.33333371,12972455.96501984,0.9945924324755516,0.3818436031543702,46.3976191216331,0.7732936520272183,2.033768315426868
25,8,400,50.0,0.0,0.946429084268374,77230228.24427861,32547533.33333359,16953546.304348946,0.9748656443735828,0.5251200098384521,57.21186284892534,0.9266945705211872,2.2932196626603227
25,8,500,50.0,0.0,0.9439627766827998,85133662.66080864,32484650.00000026,20850842.57075365,0.9591748989180214,0.6419155259647111,64.71253371083996,0.92625532698391,2.3837505244384785
25,8,600,50.0,0.0,0.9605766437142036,89243522.42051414,31582466.666666854,23431667.94558965,0.8982477829103882,0.7436264325551333,74.26340471219338,0.7918797684968798,2.3473575582551898
25,8,700,50.0,0.0,0.958516432157921,91064858.88956238,30910916.666666854,24748593.650347207,0.8131987175229927,0.803239984908064,85.75314581930206,0.6611262765929569,2.2622346966773295
25,8,800,50.0,0.0,0.9745061926376748,93980370.99619462,32559266.666666936,25120856.708732747,0.7222518440372891,0.7730583082170773,94.76145717837416,0.5697274173061464,2.1626802565174836
25,8,900,50.0,0.0,0.9652619842161828,101846704.97063808,33223300.000000365,28536721.248073895,0.7292992444281325,0.8585415696058059,98.0364290513658,0.537962122771073,2.1900573626719004
25,10,200,50.0,0.0,0.9721556117108008,57465435.3016016,30395933.333333455,8678874.10196891,0.9981081293514104,0.2889256123782465,38.46867700979175,0.6411446168298625,1.8444407184432603
25,10,300,50.0,0.0,0.9801076477439404,67529696.98075595,31311316.666666824,13007215.266352003,0.9972574126578956,0.417241623899019,48.88269439659168,0.8147115732765281,2.1286125201396837
25,10,400,50.0,0.0,0.9632540079030546,76900057.53832127,32222483.333333544,16999590.518132646,0.9775132864264086,0.5311528998853193,57.39351529591427,0.937241967022324,2.325418294833634
25,10,500,50.0,0.0,0.9837289679095084,84518304.84486476,32745716.666666947,20384121.788610857,0.9377049339746062,0.6244254460346009,65.46005542096115,0.9121350462860442,2.3954043710232336
25,10,600,50.0,0.0,0.9827704238982304,90892644.21862864,33046750.000000335,23303199.30956266,0.8933229663009719,0.7099209700910322,73.17296614739179,0.8084138852588886,2.359121085229945
25,10,700,50.0,0.0,0.9885384927581944,101741405.0395768,35910416.66666709,26772604.94854813,0.8797044517559336,0.7512138239727384,76.08927135840995,0.7691836565603942,2.358693208496779
25,10,800,50.0,0.0,0.9836120069733418,99129286.23377816,33474100.00000029,27050648.26766404,0.7777354419179777,0.8090706868093779,89.37459015712606,0.6183926822362017,2.249261238657046
25,10,900,50.0,0.0,0.9802344736201236,96268737.57753985,31132566.666666847,27147033.761610072,0.693783670474881,0.8749285666667485,104.74750791474516,0.4890686433609353,2.1692459703144573
30,2,200,50.0,0.0,0.9870483089659114,62750226.71179476,34420466.66666712,8693800.510066558,0.9998247309623152,0.255335479359689,35.21763243807679,0.5869605406346131,1.7782772330882757
30,2,300,50.0,0.0,0.9925602297452092,70653628.72889605,33707850.00000037,13005210.65343805,0.9971037198768494,0.3925960679304225,46.96252723839004,0.7827087873065006,2.089345871396048
30,2,400,50.0,0.0,0.9837695666877544,78648346.34269942,32987716.666666985,17365977.73354392,0.9985813451340156,0.5324029889499082,56.06173010040095,0.9236264450933964,2.333318402941077
30,2,500,50.0,0.0,0.995665148317432,90058472.8350374,35109066.666667126,21582494.76250309,0.9928321679076578,0.6195900473554662,61.159574896662015,0.950944386894102,2.442281573095907
30,2,600,50.0,0.0,0.9983460372855462,94762914.16417684,33326150.000000376,25014866.893204007,0.9589393626947598,0.7565887151390275,69.98604317401403,0.8504659441830554,2.4540829535798236
30,2,700,50.0,0.0,0.9972813876262347,94928509.91718297,31766166.66666697,26089993.289660677,0.8572749378443125,0.8238597719525945,81.94495531206209,0.7018651236325302,2.3582343288208407
30,2,800,50.0,0.0,0.9871485079715132,102901972.5767601,33636350.000000425,28789360.40837409,0.8277252995266677,0.8594935882542172,85.98134194805135,0.6532539982635378,2.327997376838425
30,2,900,50.0,0.0,0.993391291108224,102097674.64069492,32176833.33333368,29327101.174895205,0.7494986036478204,0.9141331186709892,97.5427419962829,0.5401539753238994,2.2648517613689148
30,4,200,50.0,0.0,0.9920082212774868,60114855.37217126,32404533.33333368,8692549.945747437,0.9996809106466238,0.2742504167050538,36.956317462797,0.6159386243799501,1.8273471790214804
30,4,300,50.0,0.0,1.0,71179634.05415876,34070116.666667044,13031020.833328646,0.999082574896226,0.3835068928184339,46.350160249525786,0.7725026708254297,2.079308185080177
30,4,400,50.0,0.0,1.0,79938743.77423087,33962683.333333686,17374318.858416848,0.9990609778862474,0.5230053674740281,55.329410466526326,0.9010703515037056,2.319474645482928
30,4,500,50.0,0.0,0.9967628086972852,89035568.94418302,34283150.00000043,21609699.87514944,0.9940836502438788,0.637059177075652,61.863482690975026,0.9558956132071448,2.462305763564952
30,4,600,50.0,0.0,0.9926841422086452,91892566.82043488,32913650.00000035,23876935.05145597,0.9153169984513428,0.7298889952145199,72.08938053734148,0.8206526043867086,2.3972479427669695
30,4,700,50.0,0.0,0.9913142402000512,100942467.50910588,34476383.333333805,27297613.89739903,0.8969553957863499,0.7981020304509113,77.07676278729738,0.760016869505806,2.3898127340665867
30,4,800,50.0,0.0,1.0,103336584.4116482,34278016.666667104,28592481.52512434,0.8220648183524848,0.834874824096066,85.69381103661502,0.6568957313856038,2.3247955906624567
30,4,900,50.0,0.0,0.9944310152967556,108094575.89738548,34474550.00000048,30789318.49555094,0.7868677876502024,0.8966483089023913,92.54994908784776,0.5892986877669193,2.3010483501855883
30,6,200,50.0,0.0,0.9955064728354666,60960917.15329669,33057016.666666996,8689581.9358851,0.9993395766513624,0.2657514038948821,36.24520167432391,0.6040866945720651,1.8121942905234376
30,6,300,50.0,0.0,0.9887599255344672,72137373.3531633,34795383.3333337,13036165.3098236,0.9994769996223324,0.3806556801039042,45.96889256263778,0.7661482093772963,2.059432678994887
30,6,400,50.0,0.0,0.9937493257067928,80950847.05104741,34794100.00000041,17338336.969763666,0.9969919413296502,0.5004120462958653,54.35225117200647,0.9058708528667744,2.2999498156102596
30,6,500,50.0,0.0,0.9896697971721724,90170016.80993864,35592700.000000454,21328672.820857424,0.9811559186436284,0.6022131547516542,61.08425702715982,0.960104278644349,2.431544599617845
30,6,600,50.0,0.0,0.9888521827310146,96650424.2659733,34886500.000000454,24941510.622728843,0.9561272663698246,0.7166607890977474,68.55847730596646,0.8703026452658073,2.43248345927502
30,6,700,50.0,0.0,0.9982790828876904,98477295.16628686,33881283.33333379,26473811.19226525,0.8698865726939567,0.7858697227605331,78.56551828656737,0.7377977800903435,2.36477264118646
30,6,800,50.0,0.0,0.9959039344869476,99981835.5426733,33508566.666667104,27445655.185946792,0.7890923187333304,0.821620988733683,89.02266139187596,0.6251640217101095,2.2783647471840034
30,6,900,50.0,0.0,0.9982803353238752,100256822.87161264,33074250.00000035,27856687.345832635,0.7119199454267261,0.8443011775075899,99.36105669223198,0.5244856454339224,2.1982069227638696
30,8,200,50.0,0.0,0.9983453466942253,61837311.42789272,33734066.666667044,8685759.083076907,0.9988999320130902,0.2604533810937273,35.75350543350734,0.5958917572251223,1.8025998087943296
30,8,300,50.0,0.0,0.9916056078071216,71351961.13266665,34193500.000000365,13036481.275092827,0.9995012245390748,0.385970551040731,46.410211768002426,0.7735035294667071,2.073885578106413
30,8,400,50.0,0.0,0.9950873661122674,82511796.58786662,35975683.3333338,17347024.9656083,0.9974915199142924,0.4831843083575229,53.28671753589432,0.888111958931572,2.269746771729858
30,8,500,50.0,0.0,0.99457515619476,89914392.10208678,35420733.33333383,21313525.802221328,0.9804591295321148,0.6031937250966901,61.12660248971756,0.9689917459462164,2.4461218822183284
30,8,600,50.0,0.0,0.9955431865501136,91977462.4369869,33260883.3333337,23697046.756296687,0.9084210206373192,0.7153199908001812,71.96620964349992,0.8218589398448369,2.3896581190350954
30,8,700,50.0,0.0,0.9949757415231846,98385185.4678084,34779066.66666715,25856624.890746564,0.849606830096918,0.74761840554585,78.65039154952254,0.7369775093796643,2.3300479753395287
30,8,800,50.0,0.0,1.0,101523367.21559016,34187266.6666671,27765396.265945185,0.7982852211618147,0.8128313818975977,86.8522361725744,0.6416329265047851,2.2918980320228632
30,8,900,50.0,0.0,0.9962856405536752,106816766.0826944,34617183.33333382,30074780.209545866,0.7686066767268986,0.8741250617492528,93.28367003588092,0.5799807024652427,2.2755663924183205
