int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.policy_ban_gasoline,self.policy_idle_fee,self.policy_relocation,self.policy_notification,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
92,50,20,4,100,0,False,True,True,False,0.6316931260128379,33469524.00000004,25637333.33333337,0.0,0.0,0.0,32.85974428557749,0.5476624047596249,1.1793555307724628
93,50,20,4,100,0,False,True,True,False,0.8855006861123556,39742677.333333366,30440666.666666698,0.0,0.0,0.0,27.673022397954178,0.4612170399659029,1.3467177260782586
94,50,20,4,100,0,False,True,True,False,0.8457341433719378,35315555.00000006,27050833.333333384,0.0,0.0,0.0,31.14208455735718,0.5190347426226196,1.3647688859945577
95,50,20,4,100,0,False,True,True,False,1.0,36627649.66666658,28055499.99999994,0.0,0.0,0.0,30.026496649630396,0.5004416108271733,1.5004416108271732
96,50,20,4,100,0,False,True,True,False,0.7365771287326119,38401850.66666702,29414000.00000027,0.0,0.0,0.0,28.63924474750982,0.4773207457918303,1.2138978745244424
97,50,20,4,100,0,False,True,True,False,1.0,29681688.666666336,22736999.999999743,0.0,0.0,0.0,37.053147897043914,0.6175524649507319,1.617552464950732
98,50,20,4,100,0,False,True,True,False,0.8723418950742227,38183966.33333349,29247166.66666679,0.0,0.0,0.0,28.802665244335987,0.4800444207389331,1.3523863158131555
99,50,20,4,100,0,False,True,True,False,1.0,31803067.99999989,24361333.333333258,0.0,0.0,0.0,34.58156930016953,0.5763594883361588,1.576359488336159
100,50,20,4,100,0,False,True,False,True,0.9926390054981256,35303583.333333544,27041666.66666683,0.0,0.0,0.0,31.152645033672034,0.5192107505612006,1.511849756059326
101,50,20,4,100,0,False,True,False,True,0.9906603481087092,38957336.00000041,29839333.33333365,0.0,0.0,0.0,28.230883138415532,0.4705147189735922,1.4611750670823014
102,50,20,4,100,0,False,True,False,True,0.9393057859567278,47746933.66666711,36569500.00000035,0.0,0.0,0.0,23.033939889794173,0.3838989981632362,1.323204784119964
103,50,20,4,100,0,False,True,False,True,0.9888042441448014,47016662.000000514,36010333.33333372,0.0,0.0,0.0,23.391707390881727,0.3898617898480288,1.3786660339928305
