nb_electrical,nb_activeCS_Cparking,nb_activeCS_Cparking_fast,nb_solar,avg_statisfied_day,self_consumption,self_sufficiency,payback_period_norm,metric
73,43,5,217,0.9667387414101195,1.0000000000000016,0.18892911206370505,0.4701589894869717,1.5880410205480553
176,49,7,761,0.6573967005748603,0.9911285896897346,0.43226396701779907,0.8378886385898993,1.8410965127789987
148,49,7,761,0.7995773989112467,0.9911285896897406,0.47227974259312605,0.88244839959662,2.0598495925823674
176,28,7,761,0.8021939856532403,0.9699956653578714,0.6481272935562129,0.9341623308297389,2.2548581513279498
176,49,9,761,0.9639853437358715,0.9911285896897414,0.5215831420764923,0.9331200669816248,2.31437192437869
176,49,7,567,0.7301123822807982,0.9999999999999911,0.34643376346776206,0.7236947909699946,1.7309541840250025
176,28,9,567,0.9356364529488509,0.9205275048311266,0.5982086834383175,0.9222738621072253,2.3364772618067304
148,49,9,567,0.7278137588746343,0.9999999999999912,0.34778681034282105,0.7255237709661325,1.7315669781150236
148,28,7,567,0.51578392187327,0.9999999999999895,0.5220785735380935,0.925377692710346,1.8588244734140908
148,28,9,761,0.9868288105671115,0.8368907078008792,0.7644072309638436,0.712471921545643,2.3108265168838296
148,28,9,567,0.952410792740431,0.9313578661520799,0.5713903524636496,0.9578321886998322,2.3673552634111825
139,26,5,236,0.9647341472557999,1.000000000000002,0.30606076024929274,0.6670321925489372,1.8766149480041712
185,26,5,236,0.7782628916071036,0.9999999999999986,0.24403187677328522,0.5692545867097836,1.5427429797355154
139,20,5,236,0.4798498940778994,0.9999999999999993,0.24669959719291662,0.5737252305507233,1.250934802382956
139,26,3,236,0.8449384356056479,1.0000000000000018,0.336073203742184,0.709870473858265,1.82366747245766
139,26,5,742,0.5926061587600875,0.9117061898428314,0.6897051413403383,0.8424645245378445,1.9868347963702027
139,20,3,742,0.8201062463619074,0.9885999033904952,0.7453437088575363,0.8865166073359486,2.302897820783885
185,26,3,742,0.3931396915967309,0.993586118180532,0.6880756869076042,0.928991509960581,1.8725917510833954
185,20,5,742,0.7555739374056466,0.8632930808521764,0.725471897110519,0.7655903805003694,2.101541835594431
185,20,3,236,0.3692602612120229,0.9991236548115798,0.27354087098725477,0.617952324193711,1.2060452821955376
185,20,3,742,0.35586632440142035,0.9649931965602581,0.7303621264774312,0.8718699199950996,1.8120259455784646
64,41,9,586,1.0,0.9996404193038675,0.6964660874611651,0.9291106247259904,2.4862834946949226
110,41,9,586,0.920211542406293,0.9999999999999923,0.526151354270825,0.9293582050600875,2.2704908308830403
64,35,9,586,0.9673447279134232,0.9666530654987271,0.6733819692826974,0.9118783333549827,2.4179286366945636
64,41,7,586,1.0,0.9999999999999899,0.646508935519932,0.9656832459983857,2.4828903944143317
64,41,9,392,0.9672768723198202,0.9999999999999974,0.49802273695127386,0.9016637494408645,2.267358811321704
64,35,7,392,1.0,0.9991236548115785,0.41002762767436435,0.805379757998882,2.1334018601383735
110,41,7,392,0.7900044981692123,0.9991236548115792,0.32880012114414214,0.7001235630081369,1.753168158092663
110,35,9,392,0.9362754846689871,0.9999999999999991,0.41723933608314473,0.8132291948679318,2.0832961484034347
110,35,7,586,0.7221316496760116,0.9842306108799007,0.5818013079381686,0.996453043687531,2.1840257397140777
110,35,7,392,0.7367416444802886,1.0000000000000007,0.4155792573620825,0.8112701952109237,1.8804752455808784
59,25,2,520,0.83627901228227,0.9991236548115701,0.7312448488254975,0.9056878603569625,2.3269627516996305
