int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
120,30,6,120,4,0.6633522541919502,17482482.341693282,5212622.655248866,5212622.655248884,0.9991236548115787,1.0000000000000033,92.8586666510406
121,30,6,120,4,0.667702653580516,17482482.341693282,5212622.655248867,5212622.655248883,0.9991236548115786,1.000000000000003,92.8586666510406
122,30,6,120,4,0.6009016746612156,17497821.61469829,5217194.718737693,5217194.71873771,1.0000000000000007,1.0000000000000033,92.77726312150381
123,30,6,120,4,0.7223539532363051,17482482.34169328,5212622.6552488655,5212622.655248885,0.9991236548115789,1.0000000000000038,92.85866665104061
124,30,6,120,4,0.7344019319955155,16550226.076586159,4934751.935395775,4934751.935395794,0.945863093373243,1.000000000000004,98.08929452006986
125,30,6,120,4,0.659658280650647,17491527.62628134,5215318.7162289135,5215318.716228931,0.9996404193038764,1.0000000000000033,92.81064722790775
126,30,6,120,4,0.6760399961511309,17497821.61469829,5217194.718737693,5217194.71873771,1.0000000000000007,1.0000000000000033,92.77726312150381
127,30,6,120,4,0.7156397980550523,17482482.341693282,5212622.655248866,5212622.655248883,0.9991236548115786,1.000000000000003,92.8586666510406
128,30,6,120,4,0.8089524555173403,17487594.717623293,5214146.463275695,5214146.463275715,0.9994157290217588,1.0000000000000038,92.83152006970992
129,30,6,120,4,0.6983218133619208,17482482.341693282,5212622.655248866,5212622.655248884,0.9991236548115787,1.0000000000000033,92.8586666510406
130,30,6,120,4,0.7232870232110992,26237799.908687886,11916541.159838768,5212622.655248884,0.9991236548115787,0.4374274871651945,61.87256575054749
131,30,6,120,4,0.5947749657168149,22718292.188472956,9337529.439154427,5138772.770914526,0.9849685602989808,0.5503353755830166,71.45783611426997
132,30,6,120,4,0.6347764830589268,26569328.050217178,12163218.023116581,5217194.71873771,1.0000000000000007,0.42893210569951684,61.100529036026195
133,30,6,120,4,0.69382169992857,23023458.1175125,9876836.667888824,4943961.003375446,0.9476282312444784,0.5005611786058035,70.51069355933032
134,30,6,120,4,0.5714374652877322,20438186.918872792,7543584.838835521,5169415.220117257,0.9908419176978678,0.6852730274211701,79.42974621202524
135,30,6,120,4,0.665482978025195,30987559.77522266,15546243.84624494,5217194.718737711,1.0000000000000009,0.33559197773665944,52.38876541992359
136,30,6,120,4,0.7431883772792875,23056986.421217557,9506367.61262542,5196455.337137792,0.9960248020788971,0.546628906948262,70.40816047435023
137,30,6,120,4,0.7322666980278111,26337148.475122347,11992612.037659956,5212622.655248885,0.9991236548115788,0.43465282116021753,61.63917105655678
138,30,6,120,4,0.6001285765823258,27171094.64259775,12674896.578654625,5184746.889966523,0.9937805984785949,0.409056346755364,59.74731682156444
139,30,6,120,4,0.7963698481006186,26102493.21220216,11805764.08895488,5217194.71873771,1.0000000000000007,0.4419192759932211,62.1932926790728
140,30,6,120,4,0.6254643313579105,19133095.99595472,6470974.75837525,5216139.398820573,0.9997977227276293,0.8060824827155185,84.84774238017899
141,30,6,120,4,0.6371719035841179,19644692.728464026,6861047.026368402,5217194.718737711,1.0000000000000009,0.7604079521226089,82.63809581749207
142,30,6,120,4,0.606005627289571,18465402.562119752,6138357.652140289,5102281.178668248,0.9779740749072017,0.8312127555632429,87.91576541798612
143,30,6,120,4,0.7404905103378387,18168316.233526055,5737763.460633843,5212622.655248884,0.9991236548115787,0.9084763934609903,89.35335444042605
144,30,6,120,4,0.6789663262945704,18958099.568398256,6864021.218696528,4880212.066104084,0.9354092245352967,0.7109844084996625,85.63094597868276
145,30,6,120,4,0.5932680551001158,23522100.95859761,9953003.229448922,5138772.77091452,0.9849685602989798,0.5163037379220307,69.01594389282764
146,30,6,120,4,0.636569071301896,21741032.81612008,8466391.883837061,5217077.4438728755,0.9999775214706075,0.6162102481734449,74.66986567428921
147,30,6,120,4,0.9107987432414894,21008024.005610406,7912118.569427331,5212622.655248884,0.9991236548115787,0.658815032852341,77.27523538465371
148,30,6,120,4,0.5199412169408522,19477468.794366866,6740177.3663312355,5212622.655248887,0.9991236548115792,0.7733657991386336,83.34758572271507
149,30,6,120,4,0.5281901304802061,19683027.88904067,6897573.30406002,5212622.655248883,0.9991236548115785,0.7557183411418986,82.47714778191694
150,30,6,120,4,0.6041499636919484,26518100.82060521,12131166.66666674,5212622.655248883,0.9991236548115786,0.4296884873877631,61.218562029848634
151,30,6,120,4,0.7566854688992085,28622510.64536041,13735333.333333386,5217194.718737713,1.000000000000001,0.37983750318431975,56.71759616458196
152,30,6,120,4,0.7731276830258742,29456206.629562307,14613500.000000026,5064344.702893585,0.9707026430707758,0.3465524824917765,55.112323878484496
153,30,6,120,4,0.8296595050411847,27025490.312027093,12512500.000000061,5217194.71873771,1.0000000000000007,0.41695861888013463,60.06921544278299
154,30,6,120,4,0.6034934161464558,28435752.64536021,13592333.333333341,5217194.718737711,1.0000000000000007,0.38383363553505956,57.09010133286858
155,30,6,120,4,0.65956666443869,25196428.82060522,11119166.666666737,5212622.655248884,0.9991236548115787,0.4687961617551242,64.42976548614742
156,30,6,120,4,0.7271114381801405,25639380.487271853,11458333.3333334,5212622.655248884,0.9991236548115787,0.4549197953671727,63.316662460152024
157,30,6,120,4,0.6936326184417789,26845915.312027164,12375000.00000008,5217194.718737713,1.000000000000001,0.4215914924232468,60.471024404696124
158,30,6,120,4,0.8417701890984348,31385305.074270204,15973833.333333284,5138772.7709145285,0.9849685602989815,0.3216994107601731,51.72484371773304
159,30,6,120,4,0.7151395678113227,18537752.446199767,7205000.000000009,4457730.167333539,0.8544304760800802,0.618699537450872,87.57264424106583
160,30,6,150,4,0.555189014238243,21865876.199518364,6519148.395286148,6519148.395286162,0.9996404193038765,1.0000000000000022,89.30810648434084
161,30,6,150,4,0.7113233498527604,21544861.641356062,6423465.963643138,6423465.963643146,0.9849685602989794,1.000000000000001,90.6387811863009
162,30,6,150,4,0.7423225205667942,21544861.641356062,6423465.963643138,6423465.963643146,0.9849685602989794,1.000000000000001,90.6387811863009
163,30,6,150,4,0.6596716625125717,21873743.685039558,6521493.398422122,6521493.398422132,1.0,1.0000000000000016,89.2759844002199
164,30,6,150,4,0.7904498069270794,21854569.59378327,6515778.319061084,6515778.319061096,0.9991236548115775,1.000000000000002,89.35431062231908
165,30,6,150,4,0.6839214399278696,21860960.063695826,6517683.079094632,6517683.079094636,0.9994157290217578,1.0000000000000007,89.32819026749819
166,30,6,150,4,0.6583026388369906,21854569.593783278,6515778.319061086,6515778.319061095,0.9991236548115774,1.0000000000000013,89.35431062231905
167,30,6,150,4,0.5818364456399218,21854569.59378326,6515778.319061081,6515778.319061109,0.9991236548115795,1.0000000000000042,89.35431062231912
168,30,6,150,4,0.6790101332086063,21873743.685039546,6521493.398422119,6521493.3984221285,0.9999999999999994,1.0000000000000013,89.27598440021994
169,30,6,150,4,0.7508548703205197,21854569.593783293,6515778.319061089,6515778.319061099,0.9991236548115779,1.0000000000000013,89.35431062231899
170,30,6,150,4,0.5713922210105412,23411185.21784632,9077096.756331911,5642929.975960668,0.8652818658569781,0.6216668310849863,83.4131199180545
171,30,6,150,4,0.5169232802820592,27979969.145557284,11205977.057019563,6515778.319061092,0.9991236548115769,0.5814556183639095,69.79278604065472
172,30,6,150,4,0.6501626913391609,31107918.03897088,13592990.904052353,6520907.069275312,0.9999100928098827,0.4797256994655455,62.775014308370054
173,30,6,150,4,0.7960271916378788,23179871.848511055,7675388.02118906,6423465.963643151,0.9849685602989802,0.836891365740756,84.24550458096846
174,30,6,150,4,0.6234021870385507,25034561.115984753,8941721.1403403,6521493.398422129,0.9999999999999996,0.729333122344938,78.00416356223329
175,30,6,150,4,0.8327466775603258,26014193.845679574,10729702.691612868,5859965.249926656,0.8985618618190225,0.5461442332887042,75.0667121027977
176,30,6,150,4,0.7287976018892043,26842827.792539567,10478845.490496434,6424266.592785634,0.9850913280599161,0.6130700751921561,72.74941429765244
177,30,6,150,4,0.6185632119254758,27701027.378155403,11137222.270533755,6423465.963643146,0.9849685602989794,0.5767565563127887,70.49558030255396
178,30,6,150,4,0.8772295579541581,31793944.666021045,14126325.847573921,6515778.319061095,0.9991236548115774,0.46125074484106743,61.42050068065333
179,30,6,150,4,0.7048873562335107,28821693.58533316,11841516.292980626,6521493.398422128,0.9999999999999992,0.5507312777408342,67.75451949824853
180,30,6,150,4,0.705120597857463,22914415.683086243,7327299.061253235,6515778.319061095,0.9991236548115774,0.8892469468752188,85.22146176484941
181,30,6,150,4,0.6245658441493657,23665095.05355426,7902091.8410909,6515778.319061095,0.9991236548115774,0.8245637294645235,82.51815577249114
182,30,6,150,4,0.691189472105502,23411542.427059814,7698980.94973928,6521493.3984221285,0.9999999999999994,0.8470592979766982,83.41184721528177
183,30,6,150,4,0.8381680236642085,27495634.62483051,10835123.67208335,6515778.31906111,0.9991236548115797,0.6013570787243514,71.02218321727635
184,30,6,150,4,0.791161201219575,28626788.206356492,11701244.331750982,6515778.319061108,0.9991236548115793,0.5568449076292455,68.21582588738987
185,30,6,150,4,0.588840279348302,24713312.851166558,8695742.37707981,6521493.3984221285,0.9999999999999994,0.7499639611692551,79.01813940367047
186,30,6,150,4,0.7908126224920121,23948516.685398318,8471959.779325504,6290875.490612886,0.9646372550396134,0.742552568056896,81.54158462727023
187,30,6,150,4,0.626565542674658,23315779.477032978,9137795.865013331,5557679.230840483,0.8522095923895524,0.6082078559140994,83.75443771560758
188,30,6,150,4,0.8548243529159537,24874371.991844647,8819064.84314266,6521493.398422133,1.0000000000000002,0.7394767488860201,78.50650463216712
189,30,6,150,4,0.6889970716306588,25698713.49346233,9604056.968318626,6423465.963643148,0.9849685602989796,0.6688283904221465,75.98823966409003
190,30,6,150,4,0.8375355560470057,28548979.775756516,11641666.666666755,6515778.319061095,0.9991236548115774,0.559694630126933,68.40174378694599
191,30,6,150,4,0.6692032858624688,25256678.03956166,10442666.666666735,5673217.198419433,0.8699260816229701,0.5432728420345437,77.31816499941779
192,30,6,150,4,0.7757606049590796,29300146.829188872,12232000.000000076,6506111.027747803,0.9976412809559769,0.5318926608688491,66.64813017437224
193,30,6,150,4,0.9329397525551376,33821301.77575595,15678666.66666661,6515778.319061095,0.9991236548115774,0.4155824253164248,57.73875922776637
194,30,6,150,4,0.7419671994671998,27588852.109089766,10906500.000000065,6515778.319061092,0.9991236548115769,0.5974215668693947,70.78221276762024
195,30,6,150,4,0.7592610381071898,26543798.916493278,11379500.00000005,5704264.803884703,0.8746868938431868,0.5012755221129819,73.5689720278361
196,30,6,150,4,0.8406956364342736,37726197.97336621,18659666.666666493,6521493.398422128,0.9999999999999992,0.3494967790647665,51.762438435450875
197,30,6,150,4,0.8266428436882975,27718146.109089658,11005500.00000004,6515778.319061098,0.9991236548115777,0.5920474598210962,70.45204222224714
