int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
21,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.5430500203884885,35762973.21413748,21206.16666666641,3940.2568150991065,0.9848148058490337,0.18580712285416134
22,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.7429022207648163,20384073.465426974,9980.66666666671,3589.6483481829237,0.8971848808268994,0.35966017782875975
23,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.6366858888340929,37611479.626318626,22714.999999999716,3880.700972662711,0.9699296148174691,0.17084309807011927
24,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.6440000790575495,31333096.867661424,17922.666666666533,3871.1375635245654,0.9675393678473865,0.21599115999430482
25,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.6633542618294096,29913616.880804308,16727.33333333323,3940.2568150991046,0.9848148058490332,0.2355579778665136
26,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.576171499760809,33872163.438138545,19739.499999999793,3952.290436703639,0.9878224495840096,0.20022241884058267
27,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.41170752259641485,25776208.880804643,13559.333333333334,3940.2568150991046,0.9848148058490332,0.290593697952144
28,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.6093920680843194,37729434.438138455,22692.999999999694,3952.29043670364,0.9878224495840097,0.17416341764877685
29,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.7094276287526582,35837564.26061313,21248.333333333136,3949.784086845757,0.9871960207585528,0.18588677167679632
30,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.6810999260555561,34616826.843043126,20276.66666666647,3973.3366730325224,0.9822661306867275,0.195956107497907
31,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.4779895091315679,32102455.388479687,18379.166666666486,3955.6517269303313,0.9778941569506222,0.2152247595700043
32,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.7584993418259787,34147167.665198006,19919.16666666646,3971.9876355288216,0.981932629159433,0.1994053115774018
33,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.5990048809692589,31204531.998531554,17665.999999999913,3971.9876355288206,0.9819326291594329,0.22483797325534022
34,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.6917626545609539,38696400.998531274,23402.499999999676,3971.9876355288216,0.981932629159433,0.1697249283422231
35,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.5631250953935993,32803995.055146508,18916.33333333321,3955.6517269303276,0.9778941569506213,0.20911302720384609
