int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
87,10,6,150,4,1.0,19417076.514289074,5969333.33333331,5674472.351206681,0.8701185456355154,0.9506040347118667,100.57126769639754
88,10,6,150,4,0.9173728813559312,15917373.229534559,4780155.341085639,4724429.975960674,0.7244398924184673,0.9883423526750267,122.68355914257229
89,10,6,150,4,1.0,16884111.598907333,5340898.212926272,4838831.234500893,0.7419820796984389,0.9059957785358548,115.65903178029082
90,10,6,150,4,0.91959706959707,23470337.306700278,7743999.999999996,6521493.398422128,0.9999999999999992,0.8421349946309569,83.20289455075354
91,10,6,150,4,1.0,19705904.3825601,6062833.333333313,5755837.343042226,0.8825949811487724,0.9493642702326598,99.09720264999586
92,10,6,150,4,0.9234981684981697,22021873.90072787,6860333.333333327,6377816.122040613,0.977968654171101,0.9296656317050607,88.67546916320575
93,10,6,150,4,0.4957983193277319,4324319.999999996,1290666.6666666656,1290666.6666666665,0.19790967924293873,1.0000000000000009,451.58545158545195
94,10,6,150,4,0.8287895310796063,23420583.616267957,7723833.3333333405,6510065.37315825,0.9982476367657374,0.842854201043296,83.37964723661213
95,10,6,150,4,0.8633699633699621,17825288.01194218,6123333.333333313,4799454.048450754,0.7359440169964714,0.7837976127029019,109.55222707715619
96,10,6,150,4,0.7778571428571434,16378763.126051638,5127833.333333326,4728003.640500246,0.7249878749619191,0.9220275568954243,119.22756223844074
97,10,6,150,4,0.9478021978021974,21051603.085430216,7118833.333333337,5739518.505985132,0.8800926651821502,0.8062442590291194,92.76253176897156
98,10,6,150,4,1.0,18560419.197603974,5989499.999999976,5243532.876657266,0.8040386697203332,0.8754541909436995,105.21314088919357
99,10,6,150,4,0.8530534351145029,21457554.300225385,7978666.666666688,5389596.046962088,0.8264358664023327,0.6755008414474523,91.00757582514836
100,10,6,180,4,0.9679945054945056,24522327.71891168,7708849.182913205,7057314.4717880115,0.9018019391968716,0.9154822340318539,93.06620587408436
101,10,6,180,4,0.7108974358974355,14481988.080320818,4323657.365181086,4314864.923407037,0.5513646261415894,0.9979664341941488,157.58886054472174
102,10,6,180,4,0.7365567765567754,18923642.73393167,5915359.450967703,5468057.568391688,0.6987225719539787,0.9243829751541404,120.60045901774635
103,10,6,180,4,1.0,15254744.894727638,4869333.333333321,4344198.256740371,0.5551129155211907,0.8921546255627837,149.60591053795835
104,10,6,180,4,0.8654061624649859,16638288.333333284,4960999.999999984,4961000.000000005,0.6339294413250386,1.0000000000000042,137.16555178502477
105,10,6,180,4,0.7537179487179491,12726358.333333334,3795000.0,3794999.9999999995,0.4849349384858937,0.9999999999999998,179.32859819154862
106,10,6,180,4,1.0,24361126.907022968,7280232.54143322,7251834.980272235,0.9266582740627587,0.996099360700449,93.68203731749675
107,10,6,180,4,0.7728159457167084,26645932.15043946,8350345.251000337,7684845.251000282,0.9819894490296271,0.9203026964758935,85.64909597138491
108,10,6,180,4,1.0,15031887.069971042,4568406.627909898,4427239.961243249,0.5657241998070581,0.9690993647972981,151.82391867213494
109,10,6,180,4,0.9458974358974358,21712725.833333295,6473499.999999987,6473499.999999994,0.8272006124607196,1.000000000000001,105.10886645546711
110,10,6,180,4,0.5769230769230765,6550921.666666666,1954333.3333333333,1954333.3333333326,0.24972977991592396,0.9999999999999997,348.37845972309754
111,10,6,180,4,0.6457783113245291,10616622.50000001,3166166.66666667,3166166.6666666646,0.4045809849106947,0.9999999999999983,214.96478753012062
