int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
90,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13116380.42851538,4476.999999999989,3550.651583788231,0.8973192838009204,0.7930872423024883
91,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9471611721611721,10386466.986567752,4174.499999999993,2411.145267561951,0.6093436918753752,0.5775889969006959
92,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,18149839.37312922,7743.999999999997,3924.861903267881,0.9918895698294188,0.5068261755252947
93,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13222382.119938055,4194.666666666661,3782.3397364265866,0.9558714233968869,0.9017020986395246
94,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9961832061068703,21743733.706462663,10495.833333333361,3924.8619032678807,0.9918895698294186,0.3739447625185744
95,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8983097055616146,14170029.144395946,5505.499999999984,3409.3278726513768,0.8616040106267183,0.6192585364910339
96,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15481471.863259401,6251.666666666651,3573.7734813369702,0.9031626407338519,0.5716513166628067
97,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.7875457875457862,17478989.00767773,7320.5,3867.390275424303,0.9773653624498674,0.5282959190525651
98,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13666089.052151067,4775.833333333321,3628.4613887186124,0.9169833473636785,0.7597546093984202
99,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,10218088.57519162,4761.166666666658,1955.0373719822614,0.49407628234800827,0.4106214944479152
100,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14256408.250657644,4900.499999999987,3837.1019606268205,0.9590326214009993,0.7830021346039854
101,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14419696.060306342,4880.333333333323,3929.6473370618414,0.9821631078649351,0.8052006018158289
102,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14994525.88080468,5303.833333333318,3940.2568150991056,0.9848148058490334,0.7429073591614462
103,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15388431.20252249,5787.833333333319,3824.0056299931043,0.9557593676727258,0.6606972609197076
104,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15447768.438139047,5631.999999999987,3952.29043670364,0.9878224495840097,0.7017561144715285
105,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11702943.653744498,3630.0,3400.6980577897325,0.8499592678070516,0.9368314208787143
106,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16992634.535855856,7016.166666666664,3824.0056299931093,0.9557593676727272,0.5450277639726979
107,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16495772.880804706,6453.333333333327,3940.256815099104,0.9848148058490331,0.6105769858108122
108,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,17710840.45176103,7381.000000000006,3941.9820002087254,0.9852459929311224,0.5340715350506329
109,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15652967.547471348,5807.999999999985,3940.2568150991046,0.9848148058490332,0.6784188731231259
110,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16204715.549412234,6200.333333333316,3959.4665118329117,0.9788372267969536,0.6385892981828273
111,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14992462.946215376,5628.333333333316,3732.4188772810044,0.9227077769603601,0.6631481570531863
112,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14021400.881000381,5041.666666666652,3632.4308838459897,0.8979893029148213,0.7204821587793719
113,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9214652014652002,14492990.776031243,5081.999999999987,3836.8791814045635,0.9485318707096307,0.7549939357348628
114,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9273351648351656,12885083.771234557,5619.1666666666515,2709.770020124262,0.6698942304043128,0.4822369900858851
115,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12479590.77123458,4739.166666666656,3072.7700201242633,0.7596330657412007,0.6483777077807498
