int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
78,10,9,30,0,0.950564971751413,7589663.678906485,3881166.666666667,1233687.9838489473,0.945863093373242,0.3178652425427785
79,10,9,30,0,1.0,11038577.288484564,6412999.99999999,1303155.6638122203,0.9991236548115782,0.2032053116813071
80,10,9,60,0,0.8353846153846144,5543885.076020347,2057000.0000000026,1397954.9744690105,0.5359029324507343,0.6796086409669464
81,10,9,60,0,0.6022344322344324,10209187.370468603,3791333.3333333363,2569386.3854572587,0.9849685602989794,0.6776999434123239
82,10,9,60,0,1.0,13817447.703801913,6554166.6666666595,2569386.38545726,0.9849685602989797,0.39202335188159126
83,10,9,60,0,0.7756135531135518,17977839.576969273,9681833.333333367,2606311.327624441,0.9991236548115783,0.26919605387661755
84,10,9,60,0,0.7870056497175119,9562613.797596842,3947166.666666662,2154505.0256695244,0.8259247131150987,0.5458358381124503
85,10,9,60,0,0.7135897435897434,11390246.550889026,5212166.66666666,2240177.428447562,0.8587670383096492,0.42979773512887753
86,10,9,60,0,0.929807342784443,12900912.906165749,5835499.999999982,2580144.7402793937,0.9890927517091623,0.4421463011360469
87,10,9,60,0,0.6906043956043955,14793222.560291221,7481833.333333346,2454326.4488162454,0.94086058931305,0.32803810770304626
88,10,9,60,0,0.729974160206719,8555820.391321724,2762833.3333333363,2418021.8275524876,0.9269432934400902,0.875196414629602
89,10,9,60,0,1.0,13482474.726348085,6809000.0000000065,2243478.473896887,0.8600324867459398,0.32948721895974226
90,10,9,90,0,0.9613553113553124,17094361.000138804,7078500.000000004,3834459.0858006226,0.9799542455332815,0.5417050343717766
91,10,9,90,0,0.7791025641025636,16521098.925613333,6620166.66666666,3846816.947590705,0.9831124847675322,0.5810755440584138
92,10,9,90,0,0.8297252747252747,16016863.002514614,6555999.999999993,3641626.973734171,0.9306730711443224,0.5554647610942915
93,10,9,90,0,0.6570338058887687,13136383.351895705,5323999.999999982,3021086.392661023,0.7720845027592326,0.5674467304021473
94,10,9,90,0,1.0,16808934.055702876,6829166.666666663,3854079.5781858945,0.9849685602989809,0.5643557649570563
95,10,9,90,0,1.0,16343533.664513007,6521166.666666662,3823258.4990302697,0.9770917655035122,0.5862844325959474
96,10,9,90,0,0.8048901098901109,14919805.055702863,5382666.666666657,3854079.5781858917,0.9849685602989802,0.7160167658259659
97,10,9,90,0,1.0,10867513.83069641,4717166.66666666,2300566.5352349626,0.5879447121195639,0.48770092256685843
98,10,9,90,0,0.766242937853107,14608670.370052801,5384499.999999997,3701063.9515468427,0.9458630933732423,0.6873551771839251
99,10,9,90,0,0.757307692307692,13487329.902690515,4759333.33333332,3552272.931197603,0.9078372887353967,0.7463803609464097
100,10,9,120,0,0.821391941391941,19753009.15393828,6951999.999999997,5212622.655248881,0.9991236548115782,0.7498018779126703
101,10,9,120,0,0.8183387858960387,16310000.774936365,5327666.666666666,4567610.919929899,0.8754917472267599,0.8573379690790026
102,10,9,120,0,0.9288461538461539,14079938.648031827,4557666.666666659,3970030.5749301375,0.7609511986722782,0.8710664612587167
