int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
136,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,2379.6666666666665,-2025488.666666667
137,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,5168.166666666667,1616292.3333333342
138,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,2883.8333333333335,-1367047.0
139,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,4695.166666666666,998554.3333333316
140,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,8943.0,5812891.333333332
141,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,5606.333333333334,1455204.6666666658
142,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,4123.166666666667,-481811.0
143,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,3820.6666666666665,-876876.0000000026
144,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,5687.0,1560555.3333333316
145,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,4799.666666666666,401697.99999999744
146,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,3831.6666666666665,-862510.0000000026
147,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,5501.833333333334,1318727.6666666658
148,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,6700.833333333333,2884621.6666666633
149,date ('2023-11-01 23:55:00'),10,30,8,8,true,true,1.0,3751.0,-967860.6666666684
150,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,4154.333333333333,-1174440.6666666684
151,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,5283.666666666666,300468.6666666658
152,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,5918.0,1128908.0
153,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,11636.166666666666,8596833.666666664
154,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,8026.333333333333,3882391.3333333316
155,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,2440.166666666667,-3413142.3333333316
156,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,5465.166666666666,537507.6666666658
157,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,5666.833333333333,800884.3333333316
158,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,3972.8333333333335,-1411479.6666666658
159,date ('2023-11-01 23:55:00'),10,30,8,10,true,true,1.0,3197.333333333333,-2424282.6666666684
160,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,6251.666666666666,831343.3333333316
161,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,6090.333333333334,620642.0
162,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,2711.5,-3792114.3333333316
163,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,5114.999999999999,-653143.3333333342
164,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,4293.666666666666,-1725804.6666666658
165,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,3670.333333333333,-2539878.0
166,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,2399.833333333333,-4199150.999999999
167,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,3428.3333333333335,-2855929.999999997
168,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,5122.333333333334,-643565.9999999974
169,date ('2023-11-01 23:55:00'),10,30,8,12,true,true,1.0,3650.166666666667,-2566215.666666666
170,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,5182.833333333333,-1297886.3333333342
171,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,5283.666666666667,-1166198.0
172,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,4577.833333333333,-2088016.3333333342
173,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,6634.833333333334,598425.6666666684
174,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,5021.5,-1508587.6666666684
175,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,3972.8333333333335,-2878146.333333334
176,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,6513.833333333334,440399.6666666684
177,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,7010.666666666667,1089264.0
178,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,9685.500000000002,4582596.333333337
179,date ('2023-11-01 23:55:00'),10,30,8,14,true,true,1.0,7663.333333333334,1941646.6666666684
180,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,5368.0,-1789392.0
181,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,2093.666666666667,-6065671.333333333
182,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,4235.0,-3269090.0
183,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,5162.666666666666,-2057557.3333333342
184,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,6068.333333333333,-874756.6666666684
185,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,5666.833333333333,-1399115.6666666684
186,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,4849.166666666667,-2466988.3333333316
187,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,5148.0,-2076712.0
188,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,6667.833333333333,-91809.66666666837
189,date ('2023-11-01 23:55:00'),10,30,8,16,true,true,1.0,4517.333333333333,-2900362.6666666684
190,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,10257.500000000002,3862961.6666666684
191,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,5021.5,-2975254.3333333316
192,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,4981.166666666666,-3027929.666666666
193,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,2497.0,-6272251.333333332
194,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,3206.5,-5345644.333333332
195,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,3650.1666666666665,-4766215.666666666
196,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,6413.0,-1157955.3333333316
197,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,4436.666666666667,-3739046.666666666
198,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,4860.166666666666,-3185955.666666666
199,date ('2023-11-01 23:55:00'),10,30,8,18,true,true,1.0,6823.666666666668,-621624.6666666633
200,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,3212.0,-6071794.666666668
201,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,7844.833333333334,-21314.333333331626
202,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,4396.333333333334,-4525055.333333334
203,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,3776.6666666666665,-5334340.000000003
204,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,7703.666666666666,-205678.0
205,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,5540.333333333333,-3030991.333333334
206,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,5041.666666666667,-3682250.0
207,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,4477.0,-4419704.666666668
208,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,6699.0,-1517772.6666666684
209,date ('2023-11-01 23:55:00'),10,30,8,20,true,true,1.0,7879.666666666667,24178.0
210,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,3509.0000000000005,-6417245.999999997
