nb_electrical,nb_gasoline,nb_activeCS_Cparking,nb_activeCS_Jparking,policy_prohibit_parking,policy_force_moving,avg_statisfied_day,monthly_energy_consumption,monthly_profit
27,56,9,13,false,true,0.3103006620182199,6985.000000000001,1055743.3333333367
31,56,9,13,false,true,0.31978860833822675,6634.833333333334,598425.6666666684
27,36,9,13,false,true,0.6683084938810123,11100.833333333332,6431021.666666663
27,56,15,13,false,true,0.5878847191824287,9476.5,2109642.3333333316
27,56,9,22,false,true,0.3713321877444017,8273.833333333332,-561040.3333333367
27,56,9,13,true,true,0.7287014387481678,10187.833333333334,5238643.666666668
27,56,9,13,false,false,0.8068052812327622,7943.833333333333,2307979.6666666633
27,36,15,22,true,false,0.9073970839069603,11192.5,1050738.3333333367
31,56,15,22,true,false,0.9694582693972432,13662.0,4275905.333333337
31,36,9,22,true,false,0.8862687024844618,12589.5,5075220.333333332
31,36,15,13,true,false,0.9394845724549368,13350.333333333334,7168868.666666668
31,36,15,22,false,false,0.8899111067049986,12838.833333333332,3200849.6666666633
31,36,15,22,true,true,1.0,9362.833333333332,-1338806.3333333316
31,36,15,22,true,false,1.0,15273.5,6380524.333333337
52,78,21,25,true,false,0.9726948872546682,24709.666666666668,1.5404158000000011E7
56,78,21,25,true,false,0.8899775647426554,30583.666666666664,2.3075602E7
52,58,21,25,true,false,0.866034523964566,26691.5,1.7992432333333336E7
52,78,27,25,true,false,1.0,21536.166666666664,9059567.0
52,78,21,10,true,false,0.9988502204731876,19337.999999999996,1.3888761333333327E7
52,78,21,25,false,false,0.6377385105885319,18505.666666666664,7301734.0
52,78,21,25,true,true,1.0,28213.166666666668,1.997972900000001E7
52,58,27,10,false,true,0.7150078928376976,21347.333333333332,1.4312950666666664E7
56,78,27,10,false,true,0.3831118119594835,19457.166666666668,1.1844393E7
56,58,21,10,false,true,0.49505219061996525,16729.166666666664,1.0481624999999994E7
56,58,27,25,false,true,0.49983345772652527,15407.333333333334,1055310.6666666735
56,58,27,10,true,true,1.0,24385.166666666668,1.828036100000001E7
56,58,27,10,false,false,0.6773562846474004,20087.833333333336,1.2668043666666673E7
56,58,27,10,false,true,0.5263785467192219,15742.833333333332,6993473.666666663
39,44,15,7,true,false,0.848457563583246,17724.666666666664,1.5081747999999994E7
18,44,15,7,true,false,1.0,8207.833333333332,2652763.6666666633
39,69,15,7,true,false,0.9404797306288991,18601.000000000004,1.6226239333333336E7
39,44,21,7,true,false,1.0,15394.499999999998,9838550.333333327
39,44,15,16,true,false,0.8579871743795945,14795.0,7955603.333333332
39,44,15,7,false,false,0.6557586958789603,12749.0,8583527.333333332
39,44,15,7,true,true,1.0,18659.666666666668,1.6302858E7
39,69,21,16,false,true,0.5905374739134457,18223.333333333336,1.0233006666666673E7
18,44,21,16,false,true,1.0,11350.166666666666,1256651.0
