int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
103,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
104,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.9004001600640253
105,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.8468926553672304
106,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
107,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
108,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.8638676844783704
109,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.5524536532170125
110,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7215109890109888
111,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7511721611721605
112,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7153846153846136
113,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7980225988700564
114,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.8205067155067153
115,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
116,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.8456214689265525
117,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
118,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
119,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.689858233369682
120,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.7855311355311367
121,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
122,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.8499999999999995
123,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.6664835164835167
124,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.7820610687022902
125,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
126,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
127,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.9287545787545796
128,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
129,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.7334432234432211
130,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.7856234096692108
131,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.8237179487179482
132,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.9952290076335878
133,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
134,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
135,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.8588149763722275
136,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
137,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.8354395604395589
138,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
139,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.974542124542124
140,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
141,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.7358757062146895
142,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.807797164667393
143,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.8989957264957252
144,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,1.0
145,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.7501282051282047
146,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.8896520146520138
147,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.930769230769231
148,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.9554707379134847
149,date ('2023-11-01 23:55:00'),10,30,7,14,false,false,0.6684615384615379
150,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.8002544529262087
151,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.7168302435478017
152,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.9038461538461534
153,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
154,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
155,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.811923076923076
156,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.7483333333333329
157,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.9912087912087915
158,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.7857692307692301
159,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
160,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.9541984732824415
161,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.8918029807342769
162,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
163,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.9243697478991597
164,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.996186440677966
165,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
166,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
167,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.8170903954802274
168,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
169,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.5337150127226453
170,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.8264994547437287
171,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.9012820512820504
172,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.9235897435897428
173,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.6888461538461542
174,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.4384223918575062
175,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.753021978021978
176,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,1.0
