int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
82,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,3589.6666666666665,-5578562.000000003
83,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,0.9891483516483517,8440.666666666668,756844.0
84,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,0.9064102564102551,4275.333333333333,-4683081.333333334
85,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,5808.0,-2681418.6666666684
86,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,0.8963369963369954,4134.166666666666,-4867445.000000003
87,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,2451.166666666667,-7065443.000000001
88,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,4799.666666666666,-3998302.000000003
89,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,4425.666666666666,-4486746.000000003
90,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,4739.166666666667,-4810648.333333332
91,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,4638.333333333334,-4942336.666666666
92,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,3549.3333333333335,-6364570.666666666
93,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,2924.1666666666665,-7181038.333333334
94,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,1915.8333333333333,-8497921.666666668
95,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,4819.833333333333,-4705297.666666668
96,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,0.9040167211922936,544.5,-10288883.0
97,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,2077.1666666666665,-8287220.333333334
98,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,2500.666666666667,-7734129.333333333
99,date ('2023-11-01 23:55:00'),10,30,6,24,true,false,1.0,4671.333333333333,-4899238.666666668
100,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,3965.5,-6554390.333333334
101,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,0.9207560886950202,5868.5,-4069072.3333333367
102,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,0.9892857142857143,5340.5,-4758640.333333334
103,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,3509.0000000000005,-7150579.333333334
104,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,5606.333333333333,-4411462.0
105,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,0.8315934065934073,3861.0,-6690867.333333334
106,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,3993.0,-6518475.333333334
107,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,3085.5,-7703670.333333334
108,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,6110.5,-3753020.3333333367
109,date ('2023-11-01 23:55:00'),10,30,6,26,true,false,1.0,7058.333333333333,-2515150.000000005
110,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,6929.999999999999,-3416086.6666666684
111,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,7736.666666666666,-2362580.0
112,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,726.0,-11518510.666666666
113,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,6950.166666666667,-3389748.999999995
114,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,7755.0,-2338636.6666666633
115,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,0.8430176905367754,4698.833333333333,-6329990.333333332
116,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,5602.666666666667,-5149584.0
117,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,4447.666666666666,-6658014.0
118,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,1602.3333333333333,-10374019.333333332
119,date ('2023-11-01 23:55:00'),10,30,6,28,true,false,1.0,1895.6666666666665,-9990926.0
120,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,5203.0,-6404882.0
121,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,2661.9999999999995,-9723428.000000002
122,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,4638.333333333334,-7142336.666666666
123,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,3307.3333333333335,-8880622.666666666
124,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,0.9408699866715128,3982.0,-7999508.0
125,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,6845.666666666667,-4259559.333333332
126,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,4708.0,-7051352.0
127,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,4981.166666666667,-6694596.333333332
128,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,5215.833333333334,-6388121.666666666
129,date ('2023-11-01 23:55:00'),10,30,6,30,true,false,1.0,4832.666666666667,-6888537.333333332
130,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,4739.166666666666,1056018.3333333316
131,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,4579.666666666667,847711.3333333342
132,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,5115.000000000001,1546856.6666666684
133,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,4935.333333333334,1312212.0
134,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,4396.333333333333,608278.0
135,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,5344.166666666666,1846148.3333333316
136,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,6150.833333333334,2899655.0
137,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,5102.166666666666,1530096.3333333316
138,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,8873.333333333332,6455240.0
139,date ('2023-11-01 23:55:00'),10,30,8,6,true,false,1.0,3811.5,-155514.3333333342
140,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,0.9694353568399369,4477.0,-19704.666666668374
141,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,4759.333333333334,349022.6666666684
142,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,6009.666666666667,1981958.0
143,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,4356.0,-177730.66666666837
144,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,8381.999999999998,5080225.333333332
145,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,4759.333333333334,349022.6666666658
146,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,3710.6666666666665,-1020536.0000000026
147,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,5575.166666666666,1414500.9999999974
148,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,0.9430097680097679,7038.166666666667,3325179.0
149,date ('2023-11-01 23:55:00'),10,30,8,8,true,false,1.0,5424.833333333334,1218165.6666666658
