int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
154,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.908791208791208
155,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
156,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
157,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7813559322033887
158,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9159963985594238
159,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
160,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
161,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
162,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9429487179487166
163,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9302259887005636
164,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.759968847352025
165,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9001831501831509
166,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
167,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
168,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.788040712468193
169,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8377492877492864
170,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
171,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8843511450381677
172,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6133053221288516
173,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9520512820512822
174,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
175,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8802564102564088
176,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
177,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7935028248587579
178,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7071794871794885
179,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8141025641025641
180,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7437179487179472
181,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9651282051282051
182,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
183,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
184,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
185,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
186,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.626844783715013
187,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.83076923076923
188,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8794117647058821
189,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.923918575063612
190,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9352417302798981
191,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
192,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9166666666666676
193,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.859760087241002
194,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8947740112994351
195,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9469230769230761
196,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
197,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8068884042166488
198,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9485641584878237
199,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8763722282806252
200,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7172161172161167
201,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9147582697201018
202,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6297164667393678
203,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7635897435897426
204,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9483516483516495
205,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
206,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7459039548022602
207,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
