int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
121,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.985593220338983
122,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9402035623409668
123,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9084249084249086
124,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8633453381352528
125,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.6654761904761903
126,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.5442263419362657
127,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
128,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
129,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7529411764705867
130,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9579831932773111
131,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
132,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8551282051282056
133,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7683933115230808
134,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9236263736263737
135,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7944871794871788
136,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9584615384615386
137,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7053435114503807
138,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.6216666666666658
139,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8508403361344538
140,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.49407488186114173
141,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
142,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9637179487179487
143,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8175641025641028
144,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8271028037383178
145,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.724869947979191
146,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7394871794871788
147,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8119592875318062
148,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8595056343147927
149,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
150,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.6585897435897416
151,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
152,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9230769230769234
153,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9109414758269718
154,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9000727008360606
155,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.7910256410256409
156,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9474736459469287
157,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
158,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
159,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8834947538337373
160,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
161,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9107692307692303
162,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8789894583787695
163,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9596153846153842
164,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.6698717948717959
165,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8608757062146899
166,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
167,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
168,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
169,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.864184981684982
170,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8707379134860038
171,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
172,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.7046428571428569
173,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8671937477280984
174,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.6958656330749353
175,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8767175572519079
176,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.5991457651762989
177,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.915384615384615
178,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.771794871794873
179,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9198473282442738
180,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
181,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
182,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
183,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8880494505494492
184,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9573446327683615
185,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.7045787545787544
186,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8966012359142138
187,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9422391857506361
188,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9259541984732825
189,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
190,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.6030769230769227
191,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9683751363140677
192,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8617048346055969
193,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8414102564102546
194,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8220512820512804
195,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
196,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8706106870228998
197,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.7790476190476188
198,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.701794871794872
199,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
200,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
201,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9009157509157495
202,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9671703296703295
203,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.7505089058524169
204,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8482783882783895
205,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
206,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8019230769230774
207,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.5597802197802184
208,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0
209,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.751781170483459
210,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.6484615384615384
211,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9384950926935653
212,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
213,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
214,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9328244274809151
215,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8938461538461537
216,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
217,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8724463831334069
218,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.7402399127589967
219,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9111383739246346
