int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
220,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.7409669211195928,1783.8333333333333,-9403647.000000002
221,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,1.0,7667.0,-1720231.3333333367
222,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.8725641025641033,4033.3333333333335,-6465800.0
223,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.9542742033200047,8413.166666666664,-745737.6666666684
224,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,1.0,2641.8333333333335,-8283099.0
225,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,1.0,5137.0,-5024411.333333334
226,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.8375136314067605,3961.8333333333335,-6559179.0
227,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.8268131868131863,4194.666666666666,-6255098.666666668
228,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.7265780730897009,2181.6666666666665,-8884076.666666668
229,date ('2023-11-01 23:55:00'),10,30,8,24,false,false,0.5910941475826968,4031.5,-6468194.333333334
230,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,1.0,3842.666666666667,-7448144.0
231,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.8631501831501828,5410.166666666666,-5400989.0
232,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.9701923076923077,5620.999999999999,-5125640.666666666
233,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,1.0,4739.166666666666,-6277315.0
234,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.7748717948717945,5687.0,-5039444.666666663
235,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.774871794871796,3710.6666666666665,-7620536.0
236,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.8148717948717956,3065.3333333333335,-8463341.333333332
237,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.9018007455507445,6070.166666666666,-4539029.0
238,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,0.9582051282051272,6453.333333333334,-4038613.3333333316
239,date ('2023-11-01 23:55:00'),10,30,8,26,false,false,1.0,6774.166666666666,-3619605.0
240,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.8633699633699617,4541.166666666666,-7269236.333333334
241,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,1.0,6171.0,-5140674.0
242,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.7579853479853481,2817.833333333333,-9519909.666666668
243,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.7104029304029306,3872.0,-8143168.0
244,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.8147252747252742,4324.833333333333,-7551767.666666668
245,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.9276556776556769,7688.999999999999,-3158166.000000005
246,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.9175070028011197,2883.8333333333335,-9433713.666666666
247,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,1.0,6453.333333333334,-4771946.666666663
248,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.7988731370410763,6211.333333333334,-5087998.666666663
249,date ('2023-11-01 23:55:00'),10,30,8,28,false,false,0.9029611844737888,7643.166666666668,-3218024.3333333265
