int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
44,10,27,210,4,false,false,1.0,16224633.3333333,4839999.99999999,4840000.0000000065,0.5301152122578721,1.0000000000000033,160.9651168285265,0.01143297854239946,false,false,1.8114329785424022
45,10,27,210,4,false,false,1.0,15467337.816719092,4779499.999999985,4508969.001164382,0.4938580700653758,0.9433976359795788,168.8461214816842,0.00918512417429782,false,false,1.7639032329579607
46,10,27,210,4,false,false,1.0,24479051.66666669,7300333.3333333405,7300333.333333319,0.799590445155621,0.999999999999997,106.68713950043397,0.05163623352680842,false,false,1.851636233526806
47,10,27,210,4,false,false,1.0,26507701.091582406,8732166.666666698,7377773.5927683,0.8080723169671252,0.8448961036132622,98.52231210006065,0.06478177976235173,false,false,1.7406986626529617
48,10,27,210,4,false,false,1.0,20351842.49999994,6070166.666666649,6070166.666666659,0.6648528287067461,1.0000000000000016,128.32253394256603,0.02831071761438311,false,false,1.8283107176143842
49,10,27,210,4,false,false,1.0,28407474.132372327,9469166.666666722,7835192.353524691,0.8581724499111555,0.8274426493205645,91.93355198813319,0.07779253703116826,false,false,1.7397466564876198
50,10,24,180,4,false,false,1.0,22260062.21023787,7171999.999999999,6298631.955541509,0.804855520396787,0.8782253144926813,102.52442147041117,0.05796588701384946,false,false,1.7605461386079946
51,10,24,180,4,false,false,0.9789621955652492,18573837.54357113,5666833.333333309,5458965.288874839,0.6975607369057049,0.9633184827872469,122.87175413515591,0.03293879022497162,false,false,1.7825557720200182
52,10,24,180,4,false,false,1.0,13925321.666666653,4154333.3333333293,4154333.333333334,0.5308514833860075,1.0000000000000013,163.88849425740392,0.0105412602593677,false,false,1.810541260259369
53,10,24,180,4,false,false,0.8330425299890931,12098524.166666659,3609833.33333333,3609833.333333335,0.46127386177716195,1.0000000000000013,188.63457795024462,0.00530105518088594,false,false,1.6383435851699801
54,10,24,180,4,false,false,0.9372252747252755,12909081.376904529,3892166.6666666614,3825465.2888748394,0.4888278720791679,0.9828626614674375,176.7902713885633,0.00736629161874954,false,false,1.730881695517975
55,10,24,180,4,false,false,0.9737394957983193,26648946.397574175,8147333.333333356,7818933.982873296,0.9991236548115748,0.9596924125938886,85.63940825096734,0.0926549916379242,false,false,1.8341484175113545
56,10,24,180,4,false,false,1.0,22179739.99999997,6614666.666666657,6614666.6666666595,0.8452392551000497,1.0000000000000004,102.89570572062625,0.05737113092147018,false,false,1.8573711309214704
57,10,24,180,4,false,false,1.0,19852630.579071272,7206833.333333353,5101499.713228185,0.6518828589249314,0.7078698059565928,114.95705775162638,0.04103821372805026,false,false,1.6073340584933247
58,10,24,180,4,false,false,1.0,22462387.04357125,7410333.333333344,6245465.288874833,0.7980617458962588,0.8428049060602074,101.60095610378005,0.05947205261886751,false,false,1.7337159774670334
59,10,24,180,4,false,false,1.0,18353921.666666623,5474333.333333319,5474333.333333337,0.6995245054680579,1.000000000000003,124.34399805382222,0.03161890916869873,false,false,1.8316189091687012
