int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
80,30,6,120,4,false,false,0.6604732073482077,28557863.645360287,13685833.333333366,5217194.7187377075,1.0000000000000002,0.3812113293847187,56.8459889072882,0.20616978566062272,false,false,1.1716120565166053
81,30,6,120,4,false,false,0.7055513446841166,32558794.64535991,16749333.333333286,5217194.718737707,0.9999999999999999,0.31148670904738823,49.860568171597144,0.2503198490763965,false,false,1.2050605609984237
82,30,6,120,4,false,false,0.7036729264002002,26288348.034548778,12217333.3333334,5045572.165876956,0.967104437899478,0.41298473473837133,61.75359508579576,0.179895771815651,false,false,1.2139564860065484
83,30,6,120,4,false,false,0.6144782826601016,26776213.40760403,12444666.666666724,5138772.770914526,0.9849685602989808,0.4129297239177025,60.62843820698633,0.1856070854342925,false,false,1.1304291472285561
84,30,6,120,4,false,false,0.6704440809402628,24041884.740937367,10351000.000000047,5138772.770914524,0.9849685602989806,0.49645181827016727,67.52382425474956,0.1532535124247632,false,false,1.2208590479811596
85,30,6,120,4,false,false,0.7425894715971059,21613537.968249384,9980666.666666716,4189679.8283305005,0.8030522252280796,0.41977955664255695,75.11033142212993,0.12413344842834484,false,false,1.2025465653394964
86,30,6,120,4,false,false,0.7934753753456036,24818852.103252225,10827666.666666746,5214146.463275714,0.9994157290217586,0.4815577191092888,65.40995503121081,0.1625217897696759,false,false,1.3412433404027104
87,30,6,120,4,false,false,0.6497684037760378,21416482.780052673,8228000.000000013,5210630.281463799,0.9987417687803886,0.6332802967262751,75.80142905220814,0.12177316703692638,false,false,1.2781658081939844
88,30,6,120,4,false,false,0.6172473278486801,30741406.184016272,15581499.999999974,5074589.483007876,0.9726662999144619,0.32568042120513974,52.80825445272158,0.23064029259745777,false,false,1.1084319574102497
89,30,6,120,4,false,false,0.5951651660757024,28972292.48727172,14010333.333333382,5212622.655248884,0.9991236548115787,0.3720555772107872,56.032845889333814,0.21087959643882634,false,false,1.1036892242831584
90,30,12,120,4,false,false,0.8657550782550781,31768858.97869335,16146166.666666642,5217194.71873771,1.0000000000000007,0.32312280843158137,51.100355889041445,0.24184594891631214,false,false,1.3660992739166553
91,30,12,120,4,false,false,0.7980585714542929,29539943.820604965,14446666.666666694,5212622.655248884,0.9991236548115787,0.3608183656148275,54.95609639134221,0.21728221659734737,false,false,1.3039954805435023
92,30,12,120,4,false,false,0.8008684477915229,26535055.487271875,12145833.333333408,5212622.655248883,0.9991236548115786,0.42916961827091743,61.17944621516618,0.18278785488442273,false,false,1.3269919972926796
93,30,12,120,4,false,false,0.7386013371700396,29264595.48727165,14235833.333333366,5212622.655248884,0.9991236548115787,0.3661621018731281,55.4731740852554,0.21418363972899876,false,false,1.2457146583975407
94,30,12,120,4,false,false,0.8065051234168874,33080953.645359807,17150833.333333246,5217194.718737711,1.0000000000000007,0.30419482350154436,49.07355505537885,0.2558524655455021,false,false,1.305713447763625
95,30,12,120,4,false,false,0.8293521364132052,26341114.487271883,11997333.333333407,5212622.655248883,0.9991236548115785,0.4344817727757989,61.62989044311062,0.18051500017535776,false,false,1.357452554809202
96,30,12,120,4,false,false,0.7637290152031496,29500452.69346738,14514499.999999998,5150113.401724825,0.9871422631070376,0.3548254091925196,55.02966401459622,0.2168386439750843,false,false,1.2644279865322494
97,30,12,120,4,false,false,0.7975787033479351,31927094.153937913,16274499.99999992,5212622.655248881,0.9991236548115782,0.32029387417425464,50.847095328272104,0.24355333764555256,false,false,1.2973671403328915
98,30,12,120,4,false,false,0.8192087399779717,30198176.312026776,14943499.999999994,5217194.71873771,1.0000000000000007,0.349128030162794,53.75821318565724,0.22463381317231967,false,false,1.3231449772805264
99,30,12,120,4,false,false,0.850426291265985,26417523.978693828,12048666.66666674,5217194.71873771,1.0000000000000007,0.43301012992345034,61.451633442607985,0.18141105185064446,false,false,1.3782454470553898
100,30,9,150,4,false,false,0.8468778696051436,28967664.95968738,12287000.000000035,6309326.318376722,0.9674664885658331,0.5134960786503381,67.41309673104817,0.15372560980302902,false,false,1.4114003423284431
101,30,9,150,4,false,false,0.7942034461265234,30618716.640033714,13218333.333333358,6521493.398422128,0.9999999999999992,0.49336729782540273,63.777983347830144,0.17005886306318999,false,false,1.3589561474500356
102,30,9,150,4,false,false,0.6644642745619389,32677218.96239809,14800499.999999966,6517683.079094631,0.999415729021757,0.4403691144957701,59.76028750326339,0.19013746161932626,false,false,1.2068970277778814
103,30,9,150,4,false,false,0.895884416685944,35753360.25161151,17150833.33333327,6520907.069275312,0.9999100928098827,0.380209342749643,54.618642450872336,0.21932853520610235,false,false,1.4193804260917606
104,30,9,150,4,false,false,0.8580990348035792,32678104.77575612,14804166.666666655,6515778.3190611005,0.9991236548115782,0.4401313809666944,59.758667566571425,0.19014601766323375,false,false,1.4003501572401684
105,30,9,150,4,false,false,0.9026952961568355,31846956.808399133,14171666.666666668,6513287.851829739,0.9987417687803872,0.45959928391130694,61.318260697517566,0.18208438975930918,false,false,1.4524591130451903
106,30,9,150,4,false,false,0.7662873451334989,28090300.640033916,11282333.333333416,6521493.398422131,0.9999999999999998,0.5780270096394436,69.51865788210526,0.14499241764120285,false,false,1.3737013704862568
