int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
25,10,21,90,4,false,false,1.0,17303353.6506868,7118833.333333326,3912896.0390532804,1.0,0.5496541154758436,74.78319094221592,0.12526661921126347,false,false,1.5649899115919383
26,10,21,90,4,false,false,1.0,14904584.763471438,6654999.999999997,3037833.7872806787,0.7763645537630175,0.456473897412574,86.81892320619158,0.08966840911503393,false,false,1.4548475270450931
27,10,21,90,4,false,false,1.0,15108644.428202732,6372666.666666653,3317378.4422658742,0.8478064352224673,0.5205636220733154,85.64633353767591,0.09263716939714557,false,false,1.5090880670557978
28,10,21,90,4,false,false,1.0,12177454.373237232,4416499.999999991,3133661.3176690713,0.800854734292214,0.7095349977740469,106.26194607995114,0.05224972117876221,false,false,1.6198777193979998
29,10,21,90,4,false,false,0.955132052821128,9086572.105118923,3791333.3333333293,2023649.3111040848,0.5171743105124009,0.5337566320830193,142.4079383325451,0.01914380594941923,false,false,1.4012811644369627
30,10,6,150,4,false,false,0.6987277353689567,14863728.030937359,5848333.333333324,3529366.209990597,0.5411898769758048,0.6034823955526821,131.38022950470048,0.02600540651807257,false,false,1.207519058329175
31,10,6,150,4,false,false,0.8786016949152523,18220991.15286885,6374499.999999993,4832484.538572739,0.7410088829871319,0.7580962488936771,107.17309413173919,0.0509438928247322,false,false,1.536022586854926
32,10,6,150,4,false,false,0.9088461538461527,15832529.166666647,4720833.333333327,4720833.333333337,0.7238883864354654,1.000000000000002,123.34100126664343,0.03251223093201806,false,false,1.7413583847781724
33,10,6,150,4,false,false,0.9263305322128851,13858111.666666672,4132333.333333334,4132333.333333332,0.6336483196215679,0.9999999999999996,140.91385947604448,0.01995503324798851,false,false,1.7462855654608733
34,10,6,150,4,false,false,0.9569597069597067,18564385.649958834,6110499.99999998,5168345.20089096,0.7925094583613985,0.8458137960708578,105.19066113046031,0.05382792958889825,false,false,1.687438673405291
35,10,6,150,4,false,false,0.7907692307692311,17960717.49999996,5355166.666666654,5355166.66666667,0.8211564958361142,1.0000000000000029,108.72616865111344,0.04879285692035071,false,false,1.639562087689584
36,10,6,150,4,false,false,0.6012461059190035,8180892.500000006,2440166.6666666684,2440166.666666666,0.3741729873186809,0.999999999999999,238.7025620982061,0.00131933596609162,false,false,1.4025654418850946
37,10,6,150,4,false,false,0.8397435897435884,11890315.70884416,3556666.6666666684,3538885.167810713,0.5426495055054326,0.9950005157855796,164.23449535048795,0.01044043202904599,false,false,1.6461844344010983
38,10,6,150,4,false,false,0.8666666666666659,15346078.086098306,4819833.33333332,4420323.28913211,0.6778084434159822,0.917111232573489,127.25075351786468,0.02916624728255105,false,false,1.6295219000080083
39,10,6,150,4,false,false,0.8111111111111112,6673938.333333338,1991000.0000000016,1990999.9999999993,0.3052981699685105,0.9999999999999989,292.6008456276315,0.00029521659005782,false,false,1.611406327701168
40,10,24,60,4,false,false,1.0,16473382.322680227,8530500.000000026,2608597.3593688523,0.9999999999999996,0.3057965370574813,58.55506665877339,0.19661070356077842,false,false,1.4412479332067636
41,10,24,60,4,false,false,0.8911172161172167,19002256.05669312,10472000.000000056,2605315.1407318963,0.9987417687803872,0.24878868799960677,50.762393534858255,0.24412705131919568,false,false,1.334275217836098
42,10,24,60,4,false,false,0.8880255664606819,11369945.848350482,6009666.666666653,1724640.2383360248,0.661137002282828,0.2869776867828547,84.83769517160377,0.094741547858741,false,false,1.2123492637457067
43,10,24,60,4,false,false,1.0,13430184.656013392,6200333.333333319,2608597.3593688523,0.9999999999999997,0.420718890280446,71.82328647790396,0.1360012379039086,false,false,1.4725763501282654
44,10,24,60,4,false,false,0.8157142857142838,14499488.481447862,7139000.000000009,2532172.3514467934,0.9707026430707762,0.35469566486157594,66.52648479525388,0.15755858667740766,false,false,1.2570294042809522
45,10,24,60,4,false,false,1.0,15311557.450541642,7824666.666666683,2491463.8606840214,0.955097133613149,0.31841150132282736,62.998163519014035,0.1737828084694216,false,false,1.4285120095276833
46,10,24,60,4,false,false,1.0,15835827.07564417,8244500.000000024,2479734.866915923,0.9506008499203157,0.3007744395555723,60.9125115721663,0.18414823691087534,false,false,1.4247677885553331
47,10,24,60,4,false,false,1.0,14180675.037135266,6836499.999999999,2569386.38545726,0.9849685602989798,0.3758335969366285,68.02214968426956,0.15114673517414381,false,false,1.4518136127234467
48,10,24,60,4,false,false,1.0,15220568.43140931,8162000.000000028,2232046.41194527,0.8556500312050114,0.27346807301461185,63.374768448821015,0.17197429952671545,false,false,1.390748757938405
49,10,24,60,4,false,false,1.0,13834931.57696913,6513833.333333327,2606311.3276244393,0.9991236548115776,0.40011943724244936,69.72206509541108,0.1441754915009928,false,false,1.4642710412949522
50,10,6,30,4,false,false,0.7451831501831497,10889096.850673668,6370833.3333333265,1256542.305518299,0.9633854002078096,0.19723358621608378,58.333579791854135,0.19782406251874268,false,false,1.1007940816747595
51,10,6,30,4,false,false,0.8919413919413899,7744487.98123206,4275333.333333327,1057476.483438467,0.8107625192830233,0.2473436340492285,82.01962499513711,0.10245588979088385,false,false,1.1922721889716565
52,10,6,30,4,false,false,0.6576923076923082,7195822.888935155,3508999.9999999995,1278153.0286002064,0.9799542455332805,0.36424993690516005,88.2734344360715,0.0861177403303714,false,false,1.0352099975468076
53,10,6,30,4,false,false,0.6537735849056605,9095026.089886978,5157166.66666666,1154530.546552955,0.885173438059672,0.2238691555220159,69.84037139885692,0.14370246724416472,false,false,0.976571376567438
54,10,6,30,4,false,false,0.8722737186477633,10366686.408671979,6264499.999999982,1069358.748335128,0.8198725989616564,0.17070137254930656,61.27319521005672,0.18231246920283503,false,false,1.1911472858900436
55,10,6,30,4,false,false,0.8469230769230768,9578184.555601822,5333166.666666666,1278153.0286002064,0.9799542455332805,0.2396611822744848,66.3173690497018,0.1584764716916423,false,false,1.1971284944343068
56,10,6,30,4,false,false,0.7767175572519084,5756392.015419161,3045166.6666666707,871288.9289502924,0.6680133488758109,0.28612191854314195,110.34689755293653,0.04664490390563979,false,false,1.0522599959920618
57,10,6,30,4,false,false,0.8084065934065935,9724238.888935125,5444999.99999999,1278153.0286002064,0.9799542455332805,0.2347388482277702,65.3213076370195,0.1629224810472418,false,false,1.1591201530360515
58,10,6,30,4,false,false,0.8553327228327231,11968777.566343838,7388333.33333333,1134934.5532831303,0.8701492771254864,0.15361171485898453,53.07141823624329,0.2289604352662246,false,false,1.2071825299861354
59,10,6,30,4,false,false,1.0,7215845.912396754,3536499.9999999986,1270397.0615243667,0.9740077800521408,0.35922439177841575,88.02848726422116,0.08670569098889955,false,false,1.374085204411632
60,10,15,30,4,false,false,1.0,12881309.579782162,7831999.999999997,1299113.8342844471,0.9960248020788964,0.16587255289637992,49.311756391367,0.254165153946751,false,false,1.386863196263855
61,10,15,30,4,false,false,1.0,14618299.955151305,9155666.666666692,1303155.6638122203,0.9991236548115782,0.1423332359353643,43.4523851575616,0.29909001457113626,false,false,1.4129566033194276
62,10,15,30,4,false,false,0.8923076923076934,13273943.98449982,8160166.666666673,1281568.0744264526,0.9825725459881063,0.15705170332629462,47.85314754542677,0.26467460888173505,false,false,1.2826236638504642
63,10,15,30,4,false,false,1.0,14398021.288484622,8987000.000000022,1303155.6638122203,0.9991236548115782,0.14500452473708883,44.11717327491563,0.2936176009160946,false,false,1.4096212207057657
64,10,15,30,4,false,false,1.0,15018153.62181795,9461833.333333358,1303155.6638122203,0.999123654811578,0.13772760710350887,42.295478924732755,0.308857765285953,false,false,1.41903985096876
